"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"02/07/2012","40","PM10","White Fish Dead End","30-029-0009","AQS","31","40","16"
"02/08/2012","46","PM10","White Fish Dead End","30-029-0009","AQS","25","46","18"
"02/09/2012","57","PM2.5","Flathead Valley","30-029-0049","AQS","16","18","57"
"02/10/2012","54","PM2.5","Flathead Valley","30-029-0049","AQS","24","16","54"
"02/11/2012","53","PM2.5","Flathead Valley","30-029-0049","AQS","24","22","53"
"02/12/2012","70","PM2.5","Flathead Valley","30-029-0049","AQS","19","21","70"
"02/13/2012","56","PM2.5","Flathead Valley","30-029-0049","AQS","28","17","56"
"02/14/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","17","32"
"02/15/2012","35","PM10","White Fish Dead End","30-029-0009","AQS","27","35","31"
"02/16/2012","35","PM2.5","Flathead Valley","30-029-0049","AQS","31","19","35"
"02/17/2012","36","PM2.5","Flathead Valley","30-029-0049","AQS","31","12","36"
"02/18/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","15","13"
"02/19/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","8","8"
"02/20/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","7","8"
"02/21/2012","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","8","3"
"02/22/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","7","."
"02/23/2012","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","24","13"
"02/24/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","27","16"
"02/25/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","10","15"
"02/26/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","8","14"
"02/27/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","19","30"
"02/28/2012","47","PM10","White Fish Dead End","30-029-0009","AQS","34","47","17"
"02/29/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","22","13"
"03/01/2012","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","14","17"
"03/02/2012","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","11","31"
"03/03/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","10","5"
"03/04/2012","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","17","10"
"03/05/2012","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","24","10"
"03/06/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","19","16"
"03/07/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","28","25"
"03/08/2012","58","PM2.5","Flathead Valley","30-029-0049","AQS","39","43","58"
"03/09/2012","63","PM2.5","Flathead Valley","30-029-0049","AQS","44","53","63"
"03/10/2012","57","PM2.5","Flathead Valley","30-029-0049","AQS","44","44","57"
"03/11/2012","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","20","40"
"03/12/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","39","15"
"03/13/2012","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","24","12"
"03/14/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","28","9"
"03/15/2012","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","15","24"
"03/16/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","21","18"
"03/17/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","15","14"
"03/18/2012","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","9","14"
"03/19/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","17","18"
"03/20/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","18","10"
"03/21/2012","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","6","17"
"03/22/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","16","25"
"03/23/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","13","15"
"03/24/2012","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","17","22"
"03/25/2012","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","19","31"
"03/26/2012","38","PM10","White Fish Dead End","30-029-0009","AQS","35","38","32"
"03/27/2012","50","PM10","White Fish Dead End","30-029-0009","AQS","40","50","20"
"03/28/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","17","18"
"03/29/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","24","12"
"03/30/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","6","4"
"03/31/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","10","12"
"04/01/2012","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","10","5"
"04/02/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","33","16"
"04/03/2012","92","PM10","White Fish Dead End","30-029-0009","AQS","43","92","22"
"04/04/2012","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","27","18"
"04/05/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","23","20"
"04/06/2012","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","17","20"
"04/07/2012","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","17","19"
"04/08/2012","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","16","15"
"04/09/2012","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","39","18"
"04/10/2012","60","PM2.5","Flathead Valley","30-029-0049","AQS","47","46","60"
"04/11/2012","55","PM10","Kalispell Flathead Electric","30-029-0047","AQS","44","55","33"
"04/12/2012","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","19","24"
"04/13/2012","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","22","32"
"04/14/2012","45","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","45","18","30"
"04/15/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","8","10"
"04/16/2012","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","12","20"
"04/17/2012","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","25","14"
"04/18/2012","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","10","18"
"04/19/2012","14","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".","14","13"
"04/20/2012","18","PM2.5","Flathead Valley","30-029-0049","AQS",".","14","18"
"04/21/2012","33","PM2.5","Flathead Valley","30-029-0049","AQS",".","17","33"
"04/22/2012","26","PM2.5","Flathead Valley","30-029-0049","AQS",".","19","26"
"04/23/2012","37","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".","37","33"
"04/24/2012","29","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".","29","28"
"04/25/2012","32","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".","32","21"
"04/26/2012","16","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".","16","13"
"04/27/2012","13","PM2.5","Flathead Valley","30-029-0049","AQS",".","13","13"
"04/28/2012","15","PM2.5","Flathead Valley","30-029-0049","AQS",".","14","15"
"04/29/2012","19","PM2.5","Flathead Valley","30-029-0049","AQS",".","18","19"
"04/30/2012","18","PM2.5","Flathead Valley","30-029-0049","AQS",".","15","18"
"05/01/2012","12","PM10","Kalispell Flathead Electric","30-029-0047","AQS",".","12","5"
"05/02/2012","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","14","16"
"05/03/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","15","16"
"05/04/2012","50","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","50","15","17"
"05/05/2012","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","10","10"
"05/06/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","14","23"
"05/07/2012","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","23","25"
"05/08/2012","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","36","40"
"05/09/2012","80","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","80","42","39"
"05/10/2012","48","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","48","28","21"
"05/11/2012","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","22","30"
"05/12/2012","48","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","48","20","28"
"05/13/2012","50","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","50","26","45"
"05/14/2012","54","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","54","35","42"
"05/15/2012","48","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","48","34","36"
"05/16/2012","84","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","84","35","29"
"05/17/2012","51","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","51","34","32"
"05/18/2012","50","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","50","31","30"
"05/19/2012","48","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","48","24","26"
"05/20/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","22","28"
"05/21/2012","39","PM2.5","Flathead Valley","30-029-0049","AQS",".","20","39"
"05/22/2012","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","11","8"
"05/23/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","12","9"
"05/24/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","9","9"
"05/25/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","16","9"
"05/26/2012","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","9","10"
"05/27/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","7","19"
"05/28/2012","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","9","25"
"05/29/2012","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","11","22"
"05/30/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","19","23"
"05/31/2012","30","PM2.5","Flathead Valley","30-029-0049","AQS","27","17","30"
"06/01/2012","27","PM2.5","Flathead Valley","30-029-0049","AQS","23","13","27"
"06/02/2012","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","11","27"
"06/03/2012","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","13","25"
"06/04/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","19","22"
"06/05/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","11","13"
"06/06/2012","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","29","6","10"
"06/07/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","13","25"
"06/08/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","7","17"
"06/09/2012","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","29","8","8"
"06/10/2012","19","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","6","9"
"06/11/2012","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","13","18"
"06/12/2012","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","17","."
"06/13/2012","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","5","."
"06/14/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","10","12"
"06/15/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","18","20"
"06/16/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","17","20"
"06/17/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","13","14"
"06/18/2012","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","9","11"
"06/19/2012","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","21","9","8"
"06/20/2012","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","13","16"
"06/21/2012","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","33","18","10"
"06/22/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","29","15"
"06/23/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","22","34"
"06/24/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","19","26"
"06/25/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","23","27"
"06/26/2012","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","10","20"
"06/27/2012","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","12","8"
"06/28/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","17","23"
"06/29/2012","91","PM10","White Fish Dead End","30-029-0009","AQS","31","91","33"
"06/30/2012","75","PM10","White Fish Dead End","30-029-0009","AQS","32","75","26"
"07/01/2012","30","PM2.5","Flathead Valley","30-029-0049","AQS","28","18","30"
"07/02/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","23","18"
"07/03/2012","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","15","19"
"07/04/2012","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","23","35"
"07/05/2012","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","20","23"
"07/06/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","21","33"
"07/07/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","37","31"
"07/08/2012","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","21","39"
"07/09/2012","40","PM2.5","Flathead Valley","30-029-0049","AQS","38","31","40"
"07/10/2012","44","PM2.5","Flathead Valley","30-029-0049","AQS","42","31","44"
"07/11/2012","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","31","43"
"07/12/2012","48","PM2.5","Flathead Valley","30-029-0049","AQS","48","34","48"
"07/13/2012","51","PM2.5","Flathead Valley","30-029-0049","AQS","47","25","51"
"07/14/2012","58","PM2.5","Flathead Valley","30-029-0049","AQS","38","19","58"
"07/15/2012","41","PM2.5","Flathead Valley","30-029-0049","AQS","28","13","41"
"07/16/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","10","22"
"07/17/2012","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","18","21"
"07/18/2012","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","20","30"
"07/19/2012","48","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","48","28","39"
"07/20/2012","41","PM2.5","Flathead Valley","30-029-0049","AQS","33","26","41"
"07/21/2012","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","42","15","28"
"07/22/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","16","23"
"07/23/2012","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","19","21"
"07/24/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","16","21"
"07/25/2012","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","19","33"
"07/26/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","27","28"
"07/27/2012","36","PM2.5","Flathead Valley","30-029-0049","AQS","34","25","36"
"07/28/2012","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","20","43"
"07/29/2012","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","17","29"
"07/30/2012","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","25","31"
"07/31/2012","47","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","47","29","28"
"08/01/2012","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","26","29"
"08/02/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","25","33"
"08/03/2012","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","14","7"
"08/04/2012","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","14","14"
"08/05/2012","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","19","14"
"08/06/2012","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","29","."
"08/07/2012","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","27","29"
"08/08/2012","33","PM10","Kalispell Flathead Electric","30-029-0047","AQS","31","33","."
"08/09/2012","42","PM2.5","Flathead Valley","30-029-0049","AQS","42","32","42"
"08/10/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","26","30"
"08/11/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","24","33"
"08/12/2012","52","PM2.5","Flathead Valley","30-029-0049","AQS","44","31","52"
"08/13/2012","47","PM2.5","Flathead Valley","30-029-0049","AQS","42","24","47"
"08/14/2012","44","PM2.5","Flathead Valley","30-029-0049","AQS","43","30","44"
"08/15/2012","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","5","10"
"08/16/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","19","18"
"08/17/2012","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","24","22"
"08/18/2012","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","22","25"
"08/19/2012","42","PM2.5","Flathead Valley","30-029-0049","AQS","42","26","42"
"08/20/2012","45","PM2.5","Flathead Valley","30-029-0049","AQS","45","31","45"
"08/21/2012","33","PM10","Kalispell Flathead Electric","30-029-0047","AQS","32","33","."
"08/22/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","19","37"
"08/23/2012","46","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","46","16","22"
"08/24/2012","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","21","15"
"08/25/2012","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","33","16","12"
"08/26/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","23","29"
"08/27/2012","80","PM2.5","Flathead Valley","30-029-0049","AQS","47","51","80"
"08/28/2012","67","PM2.5","Flathead Valley","30-029-0049","AQS","47","40","67"
"08/29/2012","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","25","33"
"08/30/2012","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","23","19"
"08/31/2012","66","PM2.5","Flathead Valley","30-029-0049","AQS","39","41","66"
"09/01/2012","51","PM2.5","Flathead Valley","30-029-0049","AQS","42","30","51"
"09/02/2012","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","19","18"
"09/03/2012","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","17","19"
"09/04/2012","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","19","."
"09/05/2012","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","21","."
"09/06/2012","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","9","5"
"09/07/2012","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","29","13","19"
"09/08/2012","39","PM2.5","Flathead Valley","30-029-0049","AQS","36","20","39"
"09/09/2012","57","PM2.5","Flathead Valley","30-029-0049","AQS","33","26","57"
"09/10/2012","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","33","31","30"
"09/11/2012","48","PM2.5","Flathead Valley","30-029-0049","AQS","31","31","48"
"09/12/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","14","17"
"09/13/2012","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","17","10"
"09/14/2012","79","PM2.5","Flathead Valley","30-029-0049","AQS","37","40","79"
"09/15/2012","88","PM2.5","Flathead Valley","30-029-0049","AQS","31","45","88"
"09/16/2012","50","PM2.5","Flathead Valley","30-029-0049","AQS","37","28","50"
"09/17/2012","37","PM2.5","Flathead Valley","30-029-0049","AQS","36","29","37"
"09/18/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","29","34"
"09/19/2012","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","44","37","43"
"09/20/2012","69","PM2.5","Flathead Valley","30-029-0049","AQS","42","49","69"
"09/21/2012","64","PM2.5","Flathead Valley","30-029-0049","AQS","33","49","64"
"09/22/2012","72","PM2.5","Flathead Valley","30-029-0049","AQS","28","44","72"
"09/23/2012","94","PM2.5","Flathead Valley","30-029-0049","AQS","28","43","94"
"09/24/2012","58","PM2.5","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","46","58"
"09/25/2012","47","PM10","White Fish Dead End","30-029-0009","AQS","35","47","."
"09/26/2012","66","PM2.5","Flathead Valley","30-029-0049","AQS","39","34","66"
"09/27/2012","69","PM2.5","Flathead Valley","30-029-0049","AQS","39","33","69"
"09/28/2012","69","PM2.5","Flathead Valley","30-029-0049","AQS","44","51","69"
"09/29/2012","67","PM2.5","Flathead Valley","30-029-0049","AQS","42","40","67"
"09/30/2012","51","PM2.5","Flathead Valley","30-029-0049","AQS","42","27","51"
"10/01/2012","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","28","40"
"10/02/2012","43","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","43","41","39"
"10/03/2012","24","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","24","7","11"
"10/04/2012","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","8","9"
"10/05/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","11","17"
"10/06/2012","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","13","24"
"10/07/2012","30","PM2.5","Flathead Valley","30-029-0049","AQS","24","15","30"
"10/08/2012","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","18","20"
"10/09/2012","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","17","23"
"10/10/2012","30","PM2.5","Flathead Valley","30-029-0049","AQS","24","22","30"
